ND,,NT,,,,,ND,NT,% diff
function,0.575166374,function,0.509964588,,,health,1.38%,0.41%,234.51%
article,0.049668822,article,0.062364745,,,anx,0.52%,0.18%,186.10%
affect,0.073141637,affect,0.060446587,,,ingest,0.82%,0.31%,169.61%
negemo,0.027985309,negemo,0.02173913,,,bio,3.08%,1.44%,113.56%
sad,0.006796208,sad,0.003600236,,,family,0.39%,0.19%,107.18%
drives,0.0752527,drives,0.069781625,,,home,0.34%,0.16%,105.42%
achieve,0.017273041,achieve,0.01564037,,,feel,0.91%,0.44%,104.77%
adj,0.056794638,adj,0.052764116,,,sad,0.68%,0.36%,88.77%
cogproc,0.15150992,bio,0.014430454,,,female,0.67%,0.37%,80.82%
discrep,0.022570316,health,0.004131418,,,i,6.59%,3.81%,72.87%
bio,0.03081837,sexual,0.001996852,,,sexual,0.33%,0.20%,67.42%
health,0.013820003,prep,0.118758607,,,friend,0.48%,0.29%,63.58%
sexual,0.003343169,adverb,0.05744639,,,you,3.59%,2.34%,53.42%
prep,0.127432823,power,0.021837498,,,focusfuture,1.82%,1.19%,52.00%
adverb,0.062649108,relativ,0.123726146,,,ppron,12.22%,8.25%,48.13%
power,0.018442366,space,0.057997246,,,insight,3.14%,2.16%,45.33%
relativ,0.132424033,work,0.01857171,,,pronoun,18.97%,14.13%,34.27%
space,0.055750879,cogproc,0.132284084,,,negemo,2.80%,2.17%,28.73%
time,0.058999874,certain,0.015561676,,,time,5.90%,4.71%,25.17%
body,0.006325339,informal,0.022073579,,,focuspresent,14.32%,11.47%,24.82%
work,0.015099196,assent,0.003423175,,,social,10.52%,8.48%,24.05%
certain,0.017532019,anger,0.00894157,,,body,0.63%,0.51%,23.90%
informal,0.015923217,verb,0.164745229,,,affect,7.31%,6.04%,21.00%
assent,0.003248995,posemo,0.03803856,,,verb,19.88%,16.47%,20.66%
risk,0.007463272,insight,0.021611253,,,affiliation,2.15%,1.79%,20.09%
anger,0.007494663,focuspast,0.031762739,,,risk,0.75%,0.63%,19.30%
verb,0.19877731,reward,0.017509345,,,discrep,2.26%,1.91%,18.03%
posemo,0.044159656,affiliation,0.017892977,,,negate,2.56%,2.18%,17.78%
insight,0.031406956,money,0.009118631,,,posemo,4.42%,3.80%,16.09%
focuspast,0.032882346,percept,0.023627779,,,we,0.56%,0.49%,15.31%
reward,0.020004081,motion,0.018502853,,,ipron,6.74%,5.87%,14.80%
affiliation,0.021487318,cause,0.019063545,,,interrog,1.62%,1.42%,14.57%
money,0.003460886,differ,0.042956915,,,cogproc,15.15%,13.23%,14.53%
percept,0.024320379,quant,0.025368877,,,reward,2.00%,1.75%,14.25%
feel,0.009064227,focuspresent,0.114715719,,,auxverb,10.85%,9.50%,14.17%
social,0.105176419,home,0.001642731,,,function,57.52%,51.00%,12.79%
friend,0.004795015,social,0.084782609,,,certain,1.75%,1.56%,12.66%
motion,0.01910943,swear,0.00448554,,,conj,7.13%,6.38%,11.67%
cause,0.018418822,netspeak,0.011656502,,,tentat,4.04%,3.65%,10.61%
differ,0.045022916,anx,0.001829628,,,achieve,1.73%,1.56%,10.44%
quant,0.02546616,compare,0.028280543,,,hear,0.66%,0.60%,9.98%
focuspresent,0.143191236,time,0.047137517,,,adverb,6.26%,5.74%,9.06%
home,0.003374561,relig,0.002547708,,,shehe,0.79%,0.73%,8.48%
swear,0.004229972,nonflu,0.002380484,,,drives,7.53%,6.98%,7.84%
netspeak,0.005485623,focusfuture,0.011941767,,,adj,5.68%,5.28%,7.64%
anx,0.005234493,auxverb,0.095012788,,,prep,12.74%,11.88%,7.30%
compare,0.028581743,negate,0.021768641,,,relativ,13.24%,12.37%,7.03%
relig,0.001726519,ingest,0.003059217,,,differ,4.50%,4.30%,4.81%
nonflu,0.002291562,death,0.002055873,,,focuspast,3.29%,3.18%,3.52%
focusfuture,0.018151996,tentat,0.036533543,,,motion,1.91%,1.85%,3.28%
auxverb,0.108472501,conj,0.063820578,,,percept,2.43%,2.36%,2.93%
negate,0.025638812,body,0.005105253,,,filler,0.05%,0.05%,2.58%
ingest,0.008248054,pronoun,0.141255164,,,compare,2.86%,2.83%,1.07%
leisure,0.013270655,leisure,0.019427503,,,quant,2.55%,2.54%,0.38%
death,0.001412607,ipron,0.058685815,,,cause,1.84%,1.91%,-3.38%
tentat,0.0404084,filler,0.000481999,,,nonflu,0.23%,0.24%,-3.74%
conj,0.07126601,see,0.011754869,,,space,5.58%,5.80%,-3.87%
pronoun,0.189658149,hear,0.006029904,,,assent,0.32%,0.34%,-5.09%
ipron,0.067373493,family,0.001878812,,,swear,0.42%,0.45%,-5.70%
filler,0.000494412,female,0.003728113,,,male,0.70%,0.80%,-12.53%
see,0.006882534,risk,0.006256148,,,power,1.84%,2.18%,-15.55%
family,0.003892516,friend,0.00293134,,,anger,0.75%,0.89%,-16.18%
female,0.006741273,discrep,0.019122565,,,work,1.51%,1.86%,-18.70%
male,0.006961012,male,0.007957899,,,article,4.97%,6.24%,-20.36%
number,0.007015947,number,0.009256345,,,they,0.69%,0.88%,-21.91%
hear,0.006631404,feel,0.00442652,,,number,0.70%,0.93%,-24.20%
ppron,0.122166939,ppron,0.082470982,,,informal,1.59%,2.21%,-27.86%
shehe,0.007949837,shehe,0.007328349,,,death,0.14%,0.21%,-31.29%
interrog,0.016229282,interrog,0.014164863,,,leisure,1.33%,1.94%,-31.69%
i,0.065858865,i,0.03809758,,,relig,0.17%,0.25%,-32.23%
we,0.00560334,we,0.004859335,,,see,0.69%,1.18%,-41.45%
they,0.006866838,they,0.008794019,,,netspeak,0.55%,1.17%,-52.94%
you,0.035888059,you,0.023391698,,,money,0.35%,0.91%,-62.05%
